Month,Department,Budgeted Amount,Actual Spending,Variance,Merchant,Description,Date,Feature
May,Sales,6927,9331,2404,Shell,fuel purchase,2024-05-25,Fuel
Oct,HR,6170,5545,-625,Uber,ride,2025-01-10,Transportation
Nov,IT,11020,9608,-1412,Netflix,monthly subscription,2023-03-14,Subscription
Aug,Operations,12487,11023,-1464,Apple Store,online shopping,2027-05-29,Shopping
Jun,Marketing,7806,5946,-1860,McDonald's,coffee purchase,2025-11-19,Food & Dining
Feb,Finance,9858,9339,-519,McDonald's,meal,2025-07-10,Food & Dining
Oct,Finance,6528,4735,-1793,Netflix,monthly subscription,2028-04-23,Subscription
Aug,HR,6104,3784,-2320,McDonald's,coffee purchase,2029-10-18,Food & Dining
Oct,Operations,12940,15314,2374,Shell,diesel,2026-01-21,Fuel
Aug,Operations,14825,12467,-2358,McDonald's,food,2025-08-13,Food & Dining
Feb,IT,16437,13897,-2540,Uber,ride to work,2024-01-28,Transportation
Jun,HR,8945,10398,1453,Amazon,online_shopping,2026-01-15,Shopping
Apr,Marketing,19902,21179,1277,Amazon,movie subscription,2025-02-24,Entertainment
Dec,Operations,11005,8469,-2536,Shell,fuel purchase,2029-05-31,Fuel
Aug,Sales,6416,6349,-67,Uber,ride to work,2026-02-13,Transportation
Apr,HR,18737,17918,-819,Shell,petrol,2024-05-09,Fuel
Oct,IT,7762,7942,180,Netflix,movie subscription,2027-02-25,Entertainment
Jul,Sales,10210,8329,-1881,Apple Store,online shopping,2024-12-12,Shopping
Jan,IT,6348,5834,-514,Starbucks,drinks,2027-01-06,Food & Dining
May,Finance,11085,10557,-528,Starbucks,coffee,2025-03-18,Food & Dining
Jan,Finance,8838,10564,1726,Shell,fuel purchase,2023-02-12,Fuel
Sep,Sales,16947,15820,-1127,Netflix,monthly subscription,2023-05-12,Subscription
Feb,IT,7077,6127,-950,Uber,ride,2025-03-27,Transportation
May,Marketing,19803,18522,-1281,Shell,fuel purchase,2026-04-07,Fuel
Apr,Marketing,14209,17041,2832,Flipkart,online shopping,2023-12-21,Shopping
May,Marketing,12056,12619,563,Shell,diesel,2028-09-10,Fuel
Mar,IT,14804,16603,1799,Starbucks,drinks,2025-07-26,Food & Dining
Aug,Marketing,15274,15896,622,Netflix,monthly subscription,2023-03-05,Subscription
Jun,IT,17699,18765,1066,Starbucks,food,2025-12-21,Food & Dining
Jun,IT,7210,7177,-33,McDonald's,coffee purchase,2025-03-20,Food & Dining
Dec,Operations,16806,19299,2493,Shell,petrol,2024-03-20,Fuel
Apr,HR,18647,17513,-1134,Apple Store,online shopping,2027-03-13,Shopping
Feb,HR,15849,13669,-2180,McDonald's,coffee purchase,2028-03-16,Food & Dining
Sep,Finance,19294,17144,-2150,McDonald's,meal,2027-05-29,Food & Dining
Jul,Operations,6955,9486,2531,Shell,diesel,2025-03-21,Fuel
Oct,Finance,14301,14863,562,Flipkart,online shopping,2028-03-06,Shopping
May,Operations,15891,14128,-1763,Amazon,movie subscription,2023-04-09,Entertainment
Oct,HR,12230,10729,-1501,Netflix,movie,2026-07-03,Entertainment
Aug,Marketing,9900,7853,-2047,Amazon,online shopping,2027-12-12,Shopping
Jun,Operations,9625,10103,478,Flipkart,movie subscription,2027-11-20,Entertainment
Jul,Finance,17122,16260,-862,Netflix,movie subscription,2026-05-26,Entertainment
Apr,Marketing,11357,12355,998,Uber,travel,2029-05-06,Transportation
Nov,Marketing,11757,11160,-597,Starbucks,food,2023-12-16,Food & Dining
Nov,Finance,12791,11569,-1222,Netflix,monthly subscription,2023-09-13,Subscription
Mar,Marketing,6291,3408,-2883,McDonald's,food,2024-02-13,Food & Dining
Jul,Marketing,17118,17170,52,Netflix,monthly subscription,2027-11-20,Subscription
Feb,Finance,15739,14200,-1539,Shell,diesel,2023-08-18,Fuel
Aug,Marketing,5224,6307,1083,Apple Store,online shopping,2025-06-19,Shopping
Jan,IT,13993,11446,-2547,Netflix,movie subscription,2025-06-11,Entertainment
Mar,HR,9999,10590,591,Starbucks,food,2023-07-22,Food & Dining
Oct,IT,15617,17064,1447,Uber,travel,2025-05-08,Transportation
Feb,Marketing,9152,7049,-2103,Uber,travel,2023-06-23,Transportation
Sep,HR,12795,15359,2564,Netflix,movie subscription,2025-09-28,Entertainment
Oct,IT,14183,12927,-1256,Netflix,movie,2023-06-05,Entertainment
Jun,Operations,16162,18993,2831,Uber,ride,2025-11-06,Transportation
Sep,HR,11883,9766,-2117,Starbucks,coffee,2028-05-28,Food & Dining
May,Marketing,19395,17111,-2284,Uber,ride to work,2027-10-03,Transportation
Apr,Marketing,6004,5735,-269,McDonald's,food,2026-10-02,Food & Dining
Nov,Operations,13962,11357,-2605,Flipkart,online shopping,2023-08-12,Shopping
Mar,Finance,12280,11822,-458,Amazon,online_shopping,2024-06-02,Shopping
Jun,Marketing,10172,12684,2512,McDonald's,drinks,2024-02-02,Food & Dining
May,Finance,13501,14040,539,Flipkart,movie subscription,2028-03-21,Entertainment
Mar,Operations,13283,14264,981,Apple Store,online shopping,2028-12-11,Shopping
May,Sales,9041,9066,25,Amazon,online_shopping,2024-07-22,Shopping
May,Finance,12915,10555,-2360,Flipkart,online_shopping,2023-05-22,Shopping
Nov,IT,6430,5949,-481,Apple Store,app purchase,2027-09-05,Digital Services
Jun,Marketing,14148,15174,1026,Shell,diesel,2023-03-02,Fuel
Aug,Finance,6601,5342,-1259,Uber,ride,2027-05-27,Transportation
Mar,Sales,19811,16964,-2847,McDonald's,food,2027-10-10,Food & Dining
Aug,HR,17242,15913,-1329,Apple Store,app purchase,2026-04-11,Digital Services
Jan,Finance,6124,6331,207,Uber,ride to work,2023-04-16,Transportation
Jun,Operations,8881,6142,-2739,Flipkart,online shopping,2028-03-11,Shopping
Nov,Marketing,17869,17999,130,Starbucks,food,2029-07-02,Food & Dining
Oct,HR,7014,9155,2141,Amazon,movie subscription,2029-07-14,Entertainment
Jan,HR,15836,15288,-548,Uber,ride to work,2023-12-11,Transportation
May,HR,5369,5830,461,Apple Store,app purchase,2025-03-09,Digital Services
Jun,HR,10914,10266,-648,Starbucks,drinks,2025-08-26,Food & Dining
Mar,HR,5796,7674,1878,Flipkart,movie subscription,2027-05-05,Entertainment
Apr,Finance,8197,8689,492,Amazon,movie subscription,2025-09-16,Entertainment
Oct,Marketing,5689,4476,-1213,Flipkart,online_shopping,2026-06-29,Shopping
Apr,Marketing,10548,11416,868,Starbucks,drinks,2024-12-25,Food & Dining
Apr,Sales,15312,15061,-251,Starbucks,food,2023-02-28,Food & Dining
Jul,Finance,13434,14256,822,Shell,fuel purchase,2027-11-22,Fuel
Jun,Operations,8023,9274,1251,Netflix,movie subscription,2025-11-03,Entertainment
Aug,HR,14971,14566,-405,McDonald's,meal,2023-06-19,Food & Dining
Jul,Marketing,9964,7462,-2502,McDonald's,food,2024-05-15,Food & Dining
Jun,Sales,11835,14469,2634,McDonald's,food,2023-04-01,Food & Dining
Dec,Marketing,19985,22564,2579,McDonald's,coffee purchase,2024-07-27,Food & Dining
Jun,Finance,11423,14399,2976,Starbucks,food,2026-05-13,Food & Dining
Aug,Finance,16840,14956,-1884,Netflix,movie,2025-05-23,Entertainment
Nov,Marketing,5449,5333,-116,Amazon,online_shopping,2023-07-21,Shopping
Oct,IT,7404,8532,1128,Netflix,movie subscription,2029-01-13,Entertainment
Aug,HR,11920,13527,1607,Amazon,movie subscription,2026-06-26,Entertainment
Jul,Operations,12358,14586,2228,Amazon,movie subscription,2028-09-03,Entertainment
May,Marketing,10082,10242,160,Shell,petrol,2025-09-19,Fuel
Jan,HR,14048,16397,2349,Netflix,monthly subscription,2024-01-16,Subscription
Jul,Finance,15955,15656,-299,Flipkart,movie subscription,2023-01-19,Entertainment
Aug,Operations,14702,14916,214,Uber,travel,2027-04-19,Transportation
Jul,Operations,12306,10687,-1619,Amazon,online_shopping,2027-04-06,Shopping
Mar,Finance,19119,19364,245,Starbucks,drinks,2024-10-26,Food & Dining
Mar,Operations,9413,8830,-583,Netflix,movie subscription,2025-07-24,Entertainment
Mar,Finance,8320,9983,1663,Flipkart,movie subscription,2025-08-29,Entertainment
Jun,Sales,12144,12625,481,Amazon,movie subscription,2028-09-18,Entertainment
Jan,HR,15624,17630,2006,Starbucks,coffee,2028-02-29,Food & Dining
Jan,IT,6114,8524,2410,Apple Store,online shopping,2024-10-02,Shopping
Nov,Sales,13684,11859,-1825,Starbucks,food,2024-05-04,Food & Dining
Jun,Marketing,14582,17455,2873,Shell,fuel purchase,2029-02-22,Fuel
Apr,HR,14091,15819,1728,Starbucks,drinks,2025-09-08,Food & Dining
Dec,Marketing,13980,15114,1134,McDonald's,coffee purchase,2027-06-15,Food & Dining
Nov,IT,10335,11085,750,Netflix,monthly subscription,2026-02-03,Subscription
Jun,Operations,12754,12659,-95,Apple Store,online shopping,2026-01-18,Shopping
Jul,HR,16838,15980,-858,Flipkart,movie subscription,2029-08-16,Entertainment
Jul,Sales,11701,12898,1197,Amazon,online_shopping,2027-08-07,Shopping
Feb,HR,6080,6035,-45,Uber,ride,2028-04-09,Transportation
Aug,IT,7970,10223,2253,Starbucks,drinks,2024-05-26,Food & Dining
Sep,IT,15553,16587,1034,Flipkart,online shopping,2023-10-09,Shopping
Oct,HR,7324,6574,-750,Uber,ride to work,2025-08-26,Transportation
Oct,IT,13236,16186,2950,Uber,travel,2023-09-24,Transportation
Mar,IT,16792,17985,1193,Starbucks,drinks,2029-05-21,Food & Dining
Apr,Marketing,10032,8349,-1683,Flipkart,online shopping,2024-05-28,Shopping
Nov,IT,9846,7132,-2714,Flipkart,online_shopping,2028-03-14,Shopping
Jul,Finance,8447,10169,1722,Apple Store,online shopping,2028-01-14,Shopping
Jan,Finance,11788,12154,366,Amazon,online shopping,2025-01-16,Shopping
May,HR,7469,9756,2287,Shell,petrol,2027-09-21,Fuel
Jun,Marketing,11339,10284,-1055,Apple Store,online shopping,2024-06-19,Shopping
Oct,Sales,7233,4888,-2345,Amazon,movie subscription,2027-01-23,Entertainment
Mar,Operations,6002,4628,-1374,Amazon,movie subscription,2025-01-28,Entertainment
Jun,Finance,6783,5920,-863,Shell,fuel purchase,2026-03-05,Fuel
Feb,Sales,19834,17903,-1931,Apple Store,online shopping,2027-06-08,Shopping
Nov,Finance,12629,14118,1489,Amazon,movie subscription,2024-07-28,Entertainment
Dec,Finance,6997,5009,-1988,Shell,petrol,2029-02-03,Fuel
Mar,Marketing,9156,8247,-909,Apple Store,app purchase,2028-10-09,Digital Services
Jul,Operations,10427,9264,-1163,Starbucks,food,2024-06-26,Food & Dining
Feb,HR,15815,17638,1823,Amazon,movie subscription,2023-03-01,Entertainment
Apr,Sales,19812,19091,-721,Shell,petrol,2023-01-31,Fuel
May,IT,13150,12340,-810,Shell,diesel,2028-09-04,Fuel
Feb,IT,8334,10756,2422,Apple Store,app purchase,2028-11-20,Digital Services
Feb,IT,12407,9757,-2650,Amazon,movie subscription,2024-05-30,Entertainment
Jun,Marketing,10916,8292,-2624,Uber,travel,2029-06-24,Transportation
Nov,Operations,14331,14762,431,Starbucks,drinks,2025-08-29,Food & Dining
Mar,Sales,19048,22018,2970,Apple Store,online shopping,2025-03-29,Shopping
Jul,HR,6344,9217,2873,Apple Store,online shopping,2029-09-26,Shopping
Feb,Marketing,13230,12304,-926,McDonald's,coffee purchase,2027-02-13,Food & Dining
May,Finance,13512,14999,1487,Uber,ride,2024-02-18,Transportation
May,Marketing,5105,7975,2870,Flipkart,online_shopping,2026-05-14,Shopping
Sep,IT,8643,10375,1732,Flipkart,online shopping,2026-11-03,Shopping
Aug,Marketing,9553,6898,-2655,Starbucks,drinks,2024-12-14,Food & Dining
Oct,Marketing,8744,10967,2223,Amazon,online shopping,2029-10-02,Shopping
Oct,IT,5833,7967,2134,McDonald's,coffee purchase,2028-11-13,Food & Dining
Jul,Sales,19037,19640,603,Shell,diesel,2024-09-13,Fuel
Feb,HR,17480,16831,-649,Uber,ride,2027-03-21,Transportation
Feb,Finance,17753,19020,1267,McDonald's,meal,2029-01-20,Food & Dining
Oct,Operations,11917,11134,-783,Flipkart,movie subscription,2028-11-01,Entertainment
Jan,Marketing,15026,15430,404,Uber,ride,2027-03-29,Transportation
Nov,IT,16634,18668,2034,Uber,ride to work,2028-11-12,Transportation
May,Sales,5221,6362,1141,McDonald's,food,2029-06-24,Food & Dining
Mar,Sales,15687,17572,1885,Starbucks,food,2029-05-14,Food & Dining
Jul,Operations,19798,19379,-419,Amazon,movie subscription,2025-01-28,Entertainment
Nov,IT,17408,14562,-2846,Uber,ride to work,2025-08-11,Transportation
May,HR,12920,12169,-751,Starbucks,food,2026-11-21,Food & Dining
Oct,Operations,12020,14877,2857,Starbucks,drinks,2024-02-03,Food & Dining
Mar,Sales,16295,14785,-1510,Uber,ride to work,2023-05-14,Transportation
Dec,Marketing,18050,16623,-1427,Flipkart,online_shopping,2024-06-22,Shopping
May,Operations,17003,17198,195,Flipkart,online_shopping,2024-04-21,Shopping
Apr,IT,7626,8425,799,Uber,travel,2025-11-23,Transportation
Oct,Operations,14217,13036,-1181,Uber,travel,2028-12-31,Transportation
Oct,Finance,10474,7572,-2902,Netflix,movie subscription,2023-07-10,Entertainment
Jun,Marketing,9899,9958,59,Uber,ride to work,2025-11-09,Transportation
Mar,HR,19114,17830,-1284,Apple Store,app purchase,2023-02-25,Digital Services
Jan,Marketing,6230,7687,1457,Amazon,movie subscription,2028-04-10,Entertainment
Jan,Sales,18400,20706,2306,Starbucks,drinks,2029-02-24,Food & Dining
Aug,Sales,19138,17229,-1909,Starbucks,food,2025-01-25,Food & Dining
Apr,HR,10574,8484,-2090,Starbucks,coffee,2024-10-18,Food & Dining
Mar,Finance,10468,11330,862,Starbucks,drinks,2029-05-14,Food & Dining
Jun,HR,8495,11135,2640,Flipkart,online_shopping,2029-01-27,Shopping
Apr,Sales,16207,14562,-1645,Uber,travel,2028-06-24,Transportation
Jun,Sales,7447,8007,560,Shell,fuel purchase,2024-05-26,Fuel
Jun,HR,16460,14691,-1769,Shell,fuel purchase,2029-04-17,Fuel
Apr,Finance,5666,8219,2553,Amazon,movie subscription,2028-02-04,Entertainment
Dec,Marketing,17825,15071,-2754,Amazon,online shopping,2027-09-01,Shopping
Jan,HR,19911,22400,2489,Uber,ride to work,2023-03-17,Transportation
Aug,HR,6778,8474,1696,Apple Store,online shopping,2029-05-16,Shopping
Feb,Marketing,16207,18817,2610,Netflix,movie subscription,2026-04-06,Entertainment
Dec,HR,11178,10687,-491,Starbucks,food,2023-02-05,Food & Dining
Aug,HR,8961,8321,-640,Uber,ride to work,2023-08-04,Transportation
Jul,HR,5449,5098,-351,Amazon,online shopping,2024-08-10,Shopping
Dec,HR,8316,9801,1485,Starbucks,coffee,2028-12-14,Food & Dining
Jan,Operations,10894,10076,-818,McDonald's,meal,2026-12-20,Food & Dining
Sep,Marketing,5155,2510,-2645,Netflix,movie,2026-10-25,Entertainment
Dec,Finance,10977,9523,-1454,Uber,travel,2024-11-06,Transportation
Oct,IT,18585,20502,1917,Starbucks,drinks,2027-10-24,Food & Dining
Nov,Sales,13923,14424,501,Starbucks,drinks,2026-04-14,Food & Dining
Dec,IT,15713,13575,-2138,McDonald's,coffee purchase,2028-01-03,Food & Dining
Jul,Marketing,11732,10733,-999,Apple Store,online shopping,2024-01-19,Shopping
Mar,HR,13817,13306,-511,McDonald's,drinks,2023-06-12,Food & Dining
Jan,Finance,7581,5315,-2266,Apple Store,app purchase,2027-08-23,Digital Services
Nov,Finance,12873,12905,32,Starbucks,coffee,2023-03-16,Food & Dining
Jul,HR,11311,13234,1923,Flipkart,online shopping,2026-05-28,Shopping
Sep,Sales,6260,7674,1414,Uber,ride,2028-09-07,Transportation
Feb,IT,17609,14912,-2697,McDonald's,drinks,2025-10-28,Food & Dining
Aug,Finance,10633,9995,-638,Apple Store,online shopping,2029-08-29,Shopping
Dec,Sales,5642,4249,-1393,McDonald's,meal,2026-12-12,Food & Dining
Aug,Operations,15224,17029,1805,Starbucks,drinks,2023-04-21,Food & Dining
Mar,Operations,12107,13228,1121,Shell,diesel,2023-06-07,Fuel
Sep,HR,14446,12119,-2327,Uber,ride,2028-04-07,Transportation
Jun,IT,6985,5644,-1341,Shell,diesel,2024-12-03,Fuel
Jun,IT,7713,7931,218,Starbucks,drinks,2024-12-04,Food & Dining
Sep,HR,11443,12738,1295,Starbucks,food,2026-04-12,Food & Dining
Sep,HR,14951,13206,-1745,Netflix,movie,2028-06-27,Entertainment
Sep,Finance,14697,14285,-412,Uber,ride to work,2023-03-03,Transportation
Mar,HR,10660,13013,2353,Amazon,online_shopping,2024-11-10,Shopping
Feb,Operations,9294,7464,-1830,Netflix,movie,2028-12-19,Entertainment
Mar,Operations,9673,10768,1095,Flipkart,online shopping,2024-08-10,Shopping
Oct,IT,7731,6658,-1073,Apple Store,app purchase,2026-01-24,Digital Services
Jan,HR,10462,9878,-584,Apple Store,online shopping,2023-01-05,Shopping
Nov,HR,11034,12490,1456,Shell,diesel,2027-06-14,Fuel
Apr,Sales,6480,6829,349,Uber,ride,2028-12-23,Transportation
May,HR,13271,13088,-183,Flipkart,online shopping,2028-09-19,Shopping
Mar,IT,6718,6816,98,Uber,travel,2025-12-24,Transportation
Apr,IT,12181,13796,1615,Uber,travel,2029-07-08,Transportation
Apr,Finance,15961,18507,2546,Flipkart,online_shopping,2026-05-06,Shopping
Jul,IT,17808,18731,923,Flipkart,movie subscription,2024-08-01,Entertainment
Aug,HR,17869,19364,1495,Netflix,movie subscription,2028-10-22,Entertainment
Mar,HR,5041,7783,2742,Amazon,online shopping,2023-04-29,Shopping
Jul,Marketing,18770,19884,1114,Starbucks,drinks,2025-06-29,Food & Dining
Oct,IT,7715,8365,650,Flipkart,online shopping,2027-02-04,Shopping
Dec,Operations,18055,19635,1580,Shell,fuel purchase,2026-02-14,Fuel
Mar,Finance,8036,5567,-2469,Netflix,movie subscription,2026-03-27,Entertainment
Jul,Sales,5646,7752,2106,Shell,diesel,2024-02-14,Fuel
Apr,Finance,18769,19125,356,McDonald's,coffee purchase,2027-07-05,Food & Dining
Nov,IT,14702,16476,1774,Netflix,monthly subscription,2025-07-17,Subscription
Mar,Operations,9928,10202,274,McDonald's,food,2026-10-09,Food & Dining
Jul,Finance,19844,20468,624,Netflix,movie subscription,2023-12-31,Entertainment
Feb,Finance,16743,16794,51,Uber,ride to work,2028-01-12,Transportation
Jun,Operations,10966,10991,25,Amazon,movie subscription,2025-05-16,Entertainment
Apr,Operations,15442,15427,-15,Uber,ride,2024-03-10,Transportation
May,Operations,10310,7369,-2941,Flipkart,movie subscription,2025-10-01,Entertainment
Oct,Sales,19239,16710,-2529,Shell,petrol,2026-03-14,Fuel
Apr,Operations,18896,18477,-419,Uber,ride,2025-05-18,Transportation
Apr,Finance,7494,5356,-2138,Uber,ride,2025-01-01,Transportation
Oct,Finance,5646,4363,-1283,Shell,fuel purchase,2028-07-28,Fuel
May,Marketing,14262,11623,-2639,McDonald's,drinks,2028-02-23,Food & Dining
Jun,IT,8523,6101,-2422,Starbucks,coffee,2026-05-21,Food & Dining
Nov,Operations,19396,19319,-77,Apple Store,app purchase,2026-09-17,Digital Services
Mar,Operations,8083,5461,-2622,Apple Store,app purchase,2025-06-19,Digital Services
Jul,IT,19667,22193,2526,Apple Store,app purchase,2025-12-15,Digital Services
Nov,IT,14430,14304,-126,Starbucks,drinks,2027-02-14,Food & Dining
Jul,HR,17777,15598,-2179,Apple Store,online shopping,2029-01-20,Shopping
Jul,Sales,5369,4716,-653,Uber,ride to work,2025-04-12,Transportation
Apr,Finance,13066,14494,1428,Starbucks,coffee,2025-06-15,Food & Dining
May,Marketing,8710,10981,2271,Starbucks,food,2026-03-12,Food & Dining
Oct,Marketing,10330,8102,-2228,Uber,ride,2028-02-28,Transportation
Jul,Sales,15838,14135,-1703,Netflix,entertainment,2028-11-24,Entertainment
May,HR,10394,9515,-879,Starbucks,food,2024-02-15,Food & Dining
Apr,Operations,12904,9975,-2929,McDonald's,coffee purchase,2023-04-17,Food & Dining
Sep,Operations,12237,14265,2028,Amazon,movie subscription,2026-06-19,Entertainment
Sep,Operations,14257,14195,-62,Netflix,entertainment,2028-11-19,Entertainment
Aug,HR,10416,10749,333,Shell,petrol,2027-04-12,Fuel
Sep,Operations,8961,7322,-1639,Amazon,movie subscription,2027-02-05,Entertainment
Feb,Finance,15966,15510,-456,McDonald's,drinks,2026-09-12,Food & Dining
Mar,IT,19983,19009,-974,Starbucks,drinks,2028-09-11,Food & Dining
Feb,Operations,15858,16826,968,Starbucks,coffee,2024-02-03,Food & Dining
Aug,Sales,5957,7421,1464,Starbucks,food,2028-06-19,Food & Dining
Aug,Sales,12281,14900,2619,Flipkart,online_shopping,2023-12-15,Shopping
Sep,Marketing,14984,14791,-193,Flipkart,movie subscription,2028-08-02,Entertainment
Jan,Sales,17137,18288,1151,Apple Store,app purchase,2024-05-29,Digital Services
Jun,Sales,15024,15528,504,Starbucks,coffee,2027-09-30,Food & Dining
Jun,Sales,7483,5865,-1618,Shell,fuel purchase,2023-07-24,Fuel
Nov,Marketing,16663,14379,-2284,Flipkart,movie subscription,2025-11-13,Entertainment
Jul,Sales,6739,7860,1121,Amazon,movie subscription,2023-10-07,Entertainment
Sep,Marketing,16602,18222,1620,McDonald's,meal,2026-06-07,Food & Dining
Dec,Sales,10588,10838,250,Netflix,monthly subscription,2023-04-15,Subscription
May,IT,7067,4509,-2558,Flipkart,online_shopping,2023-09-17,Shopping
Dec,Finance,7803,9468,1665,Uber,ride,2023-01-11,Transportation
Aug,IT,13614,12733,-881,Starbucks,coffee,2029-05-25,Food & Dining
Feb,IT,14436,16838,2402,Shell,diesel,2027-07-20,Fuel
May,HR,17075,15562,-1513,Shell,diesel,2024-02-16,Fuel
Jan,Marketing,14697,12493,-2204,Netflix,entertainment,2024-07-20,Entertainment
Nov,HR,5959,5676,-283,Amazon,online_shopping,2027-11-10,Shopping
Mar,Marketing,11885,9572,-2313,Amazon,online shopping,2025-04-17,Shopping
Feb,IT,17779,17121,-658,McDonald's,coffee purchase,2023-10-20,Food & Dining
Apr,IT,9940,9547,-393,Shell,petrol,2028-01-04,Fuel
Dec,HR,12283,9911,-2372,Starbucks,coffee,2028-06-15,Food & Dining
Aug,Operations,18858,16951,-1907,Apple Store,app purchase,2026-10-03,Digital Services
Aug,Finance,12002,11156,-846,Starbucks,coffee,2025-09-14,Food & Dining
Jul,HR,12834,9990,-2844,Apple Store,app purchase,2027-07-01,Digital Services
Apr,HR,11075,8226,-2849,Flipkart,online_shopping,2025-09-08,Shopping
Nov,Operations,18159,18045,-114,Netflix,monthly subscription,2026-12-13,Subscription
Apr,Finance,17822,18990,1168,McDonald's,food,2028-02-18,Food & Dining
Dec,HR,7970,10640,2670,McDonald's,food,2027-09-16,Food & Dining
May,Operations,12480,14853,2373,Flipkart,online shopping,2029-10-05,Shopping
Aug,HR,16166,18740,2574,McDonald's,meal,2024-07-18,Food & Dining
Feb,Finance,18242,18436,194,Apple Store,app purchase,2027-05-29,Digital Services
Sep,Sales,17708,16735,-973,Netflix,movie,2024-01-25,Entertainment
Mar,IT,16538,13849,-2689,Starbucks,coffee,2027-10-01,Food & Dining
Sep,Finance,16474,16956,482,Apple Store,app purchase,2028-02-27,Digital Services
Mar,Finance,14030,16212,2182,Amazon,movie subscription,2027-11-26,Entertainment
Aug,Marketing,18082,20044,1962,Amazon,online shopping,2029-02-10,Shopping
Oct,IT,17185,15318,-1867,Uber,ride,2029-08-20,Transportation
Apr,Finance,7942,8618,676,Shell,fuel purchase,2028-06-22,Fuel
Oct,Marketing,16794,18668,1874,Apple Store,online shopping,2026-05-23,Shopping
Sep,Marketing,9411,9087,-324,Shell,petrol,2029-04-08,Fuel
Jun,Finance,9145,7667,-1478,Apple Store,app purchase,2027-10-04,Digital Services
Oct,HR,8609,8103,-506,Starbucks,drinks,2025-02-05,Food & Dining
Jul,Sales,5494,6365,871,Starbucks,coffee,2028-03-04,Food & Dining
Aug,HR,16869,17413,544,Shell,diesel,2025-01-27,Fuel
Dec,Operations,10070,11910,1840,Flipkart,online shopping,2024-06-07,Shopping
Dec,IT,11645,11532,-113,Netflix,movie,2027-05-15,Entertainment
Mar,IT,12791,13859,1068,Flipkart,movie subscription,2029-07-06,Entertainment
Nov,Operations,18279,16976,-1303,Starbucks,drinks,2024-04-22,Food & Dining
Oct,Marketing,5168,4213,-955,McDonald's,drinks,2023-02-10,Food & Dining
Oct,Operations,9180,7403,-1777,Apple Store,app purchase,2025-01-09,Digital Services
Apr,HR,11726,12128,402,Starbucks,food,2024-06-01,Food & Dining
Mar,Sales,8790,9021,231,Uber,travel,2028-08-31,Transportation
Dec,HR,5436,2778,-2658,Flipkart,movie subscription,2027-08-29,Entertainment
Oct,HR,8622,5776,-2846,Flipkart,online_shopping,2023-06-17,Shopping
May,Sales,12542,10877,-1665,Amazon,online_shopping,2026-02-05,Shopping
Jun,Finance,18599,20380,1781,Apple Store,app purchase,2023-10-25,Digital Services
Oct,Marketing,19918,19409,-509,Flipkart,movie subscription,2029-06-20,Entertainment
Jun,Sales,13092,14006,914,Netflix,movie subscription,2027-07-12,Entertainment
Mar,Sales,19139,21689,2550,McDonald's,drinks,2023-01-27,Food & Dining
Nov,Finance,11281,10878,-403,Starbucks,drinks,2027-02-02,Food & Dining
May,IT,7618,7613,-5,Shell,petrol,2025-05-07,Fuel
Mar,Operations,14432,14813,381,Shell,diesel,2025-07-26,Fuel
May,Sales,5310,3349,-1961,McDonald's,food,2025-01-29,Food & Dining
Aug,Operations,8121,7240,-881,Shell,diesel,2027-03-29,Fuel
Oct,HR,6966,4987,-1979,Amazon,online shopping,2029-04-17,Shopping
Nov,Marketing,19910,20337,427,McDonald's,coffee purchase,2027-05-08,Food & Dining
Mar,IT,19500,19326,-174,Netflix,monthly subscription,2027-01-23,Subscription
Apr,Sales,16589,19498,2909,Starbucks,coffee,2027-08-25,Food & Dining
Jul,IT,7926,10375,2449,Shell,diesel,2029-09-08,Fuel
Aug,IT,7771,6019,-1752,Apple Store,app purchase,2026-06-03,Digital Services
Mar,Operations,7279,8177,898,Apple Store,online shopping,2025-05-28,Shopping
Jan,Marketing,15661,14113,-1548,Uber,ride,2024-10-01,Transportation
Aug,Marketing,15367,12463,-2904,Flipkart,online shopping,2026-03-29,Shopping
Jul,HR,14383,14194,-189,Netflix,movie,2028-06-17,Entertainment
Dec,HR,7362,9743,2381,Amazon,movie subscription,2028-02-26,Entertainment
Dec,Operations,14181,15684,1503,Amazon,online shopping,2028-04-08,Shopping
Dec,Sales,12389,12226,-163,Flipkart,movie subscription,2025-11-22,Entertainment
Jul,HR,6666,8654,1988,Uber,travel,2027-01-07,Transportation
Jul,HR,11557,10000,-1557,Shell,fuel purchase,2029-01-10,Fuel
Mar,Sales,15341,14104,-1237,Shell,fuel purchase,2029-06-30,Fuel
Apr,Finance,5618,5540,-78,Amazon,movie subscription,2027-09-09,Entertainment
Nov,Finance,11173,10663,-510,Apple Store,online shopping,2029-10-22,Shopping
Aug,IT,9749,7493,-2256,Uber,travel,2025-08-07,Transportation
Oct,Operations,7191,7011,-180,Flipkart,movie subscription,2029-08-03,Entertainment
Apr,Finance,11236,9282,-1954,Flipkart,online shopping,2028-03-12,Shopping
Mar,HR,5400,3458,-1942,Apple Store,online shopping,2023-08-06,Shopping
Jul,Finance,11957,12877,920,Flipkart,online shopping,2024-09-22,Shopping
Oct,Marketing,13114,14334,1220,Flipkart,movie subscription,2023-08-19,Entertainment
Nov,Finance,9801,11051,1250,McDonald's,meal,2024-09-05,Food & Dining
Mar,Marketing,7960,9608,1648,Amazon,online_shopping,2028-09-07,Shopping
May,Operations,12437,14530,2093,Apple Store,online shopping,2027-04-28,Shopping
