Department,Budgeted Amount,Actual Spending,Variance,Merchant,Description,Date,Category
Marketing,12915,11638,-1277,Uber,travel,24 September 2032,Transportation
HR,17133,17321,188,Shell,diesel,25 September 2032,Fuel
Operations,13376,16165,2789,Starbucks,coffee,26 September 2032,Food & Dining
Finance,6691,9312,2621,Starbucks,drinks,27 September 2032,Food & Dining
Operations,12198,14190,1992,Apple Store,online shopping,28 September 2032,Shopping
HR,6110,6554,444,Starbucks,coffee,29 September 2032,Food & Dining
Finance,8169,5172,-2997,Flipkart,movie subscription,30 September 2032,Entertainment
Sales,19151,18755,-396,Netflix,monthly subscription,01 October 2032,Subscription
HR,15932,13662,-2270,Flipkart,online_shopping,02 October 2032,Shopping
Sales,15432,17868,2436,Uber,travel,03 October 2032,Transportation
Operations,9576,12153,2577,Apple Store,app purchase,04 October 2032,Digital Services
Sales,12413,12714,301,Shell,petrol,05 October 2032,Fuel
Sales,9987,9244,-743,Starbucks,coffee,06 October 2032,Food & Dining
HR,13477,15476,1999,McDonald's,coffee purchase,07 October 2032,Food & Dining
HR,19638,21344,1706,Flipkart,online_shopping,08 October 2032,Shopping
IT,8623,5994,-2629,Uber,ride,09 October 2032,Transportation
Finance,17158,14814,-2344,Amazon,online_shopping,10 October 2032,Shopping
Sales,5304,6708,1404,Amazon,online_shopping,11 October 2032,Shopping
Operations,12061,11364,-697,Amazon,online_shopping,12 October 2032,Shopping
Operations,16497,16385,-112,Starbucks,coffee,13 October 2032,Food & Dining
Sales,11772,9393,-2379,Shell,petrol,14 October 2032,Fuel
Operations,14044,13850,-194,Uber,travel,15 October 2032,Transportation
Operations,19896,17591,-2305,Apple Store,online shopping,16 October 2032,Shopping
IT,12771,11163,-1608,Flipkart,movie subscription,17 October 2032,Entertainment
Operations,11162,13521,2359,Amazon,movie subscription,18 October 2032,Entertainment
HR,10189,8823,-1366,Netflix,entertainment,19 October 2032,Entertainment
HR,19450,18386,-1064,Apple Store,online shopping,20 October 2032,Shopping
IT,16823,16754,-69,Netflix,movie,21 October 2032,Entertainment
Marketing,17317,15774,-1543,McDonald's,drinks,22 October 2032,Food & Dining
Finance,11503,9487,-2016,Uber,travel,23 October 2032,Transportation
Marketing,17218,17465,247,Shell,fuel purchase,24 October 2032,Fuel
Operations,6771,9626,2855,Netflix,monthly subscription,25 October 2032,Subscription
IT,7319,9528,2209,Flipkart,movie subscription,26 October 2032,Entertainment
Sales,10283,12090,1807,Shell,petrol,27 October 2032,Fuel
Sales,18507,20360,1853,Shell,fuel purchase,28 October 2032,Fuel
Sales,11655,11664,9,McDonald's,coffee purchase,29 October 2032,Food & Dining
Sales,6519,7285,766,Apple Store,app purchase,30 October 2032,Digital Services
Marketing,17268,19472,2204,Shell,diesel,31 October 2032,Fuel
HR,15338,16194,856,Uber,ride,01 November 2032,Transportation
IT,19861,17315,-2546,Amazon,online shopping,02 November 2032,Shopping
Sales,15849,18463,2614,McDonald's,drinks,03 November 2032,Food & Dining
Sales,8519,11327,2808,McDonald's,food,04 November 2032,Food & Dining
Marketing,16213,17030,817,Shell,fuel purchase,05 November 2032,Fuel
Marketing,12449,12336,-113,Netflix,entertainment,06 November 2032,Entertainment
Operations,5711,2906,-2805,Apple Store,online shopping,07 November 2032,Shopping
Operations,18699,21161,2462,McDonald's,meal,08 November 2032,Food & Dining
IT,14340,15332,992,McDonald's,drinks,09 November 2032,Food & Dining
IT,19830,17018,-2812,Uber,ride,10 November 2032,Transportation
Sales,18653,20733,2080,Flipkart,online_shopping,11 November 2032,Shopping
Sales,17716,16357,-1359,McDonald's,coffee purchase,12 November 2032,Food & Dining
Sales,6016,5626,-390,McDonald's,coffee purchase,13 November 2032,Food & Dining
Finance,6913,6680,-233,Netflix,movie,14 November 2032,Entertainment
Marketing,6896,5735,-1161,Apple Store,app purchase,15 November 2032,Digital Services
Finance,11962,14354,2392,Uber,ride to work,16 November 2032,Transportation
HR,19764,21157,1393,Shell,petrol,17 November 2032,Fuel
HR,11418,11650,232,Starbucks,drinks,18 November 2032,Food & Dining
Operations,18772,19785,1013,Amazon,online_shopping,19 November 2032,Shopping
HR,16119,14243,-1876,Starbucks,drinks,20 November 2032,Food & Dining
HR,8061,5868,-2193,Flipkart,online shopping,21 November 2032,Shopping
Marketing,11791,13853,2062,Netflix,movie,22 November 2032,Entertainment
Marketing,9572,9479,-93,Amazon,movie subscription,23 November 2032,Entertainment
IT,13771,16681,2910,Shell,diesel,24 November 2032,Fuel
Marketing,16302,14810,-1492,Netflix,movie,25 November 2032,Entertainment
Finance,5830,3331,-2499,Apple Store,app purchase,26 November 2032,Digital Services
Sales,14019,11096,-2923,McDonald's,food,27 November 2032,Food & Dining
HR,18598,21043,2445,Amazon,online_shopping,28 November 2032,Shopping
Operations,17941,18869,928,Shell,petrol,29 November 2032,Fuel
IT,10840,11479,639,Flipkart,online shopping,30 November 2032,Shopping
Sales,14691,16027,1336,Starbucks,food,01 December 2032,Food & Dining
IT,16553,14320,-2233,Starbucks,drinks,02 December 2032,Food & Dining
Marketing,9512,11077,1565,Netflix,entertainment,03 December 2032,Entertainment
Marketing,18548,20903,2355,Flipkart,movie subscription,04 December 2032,Entertainment
Finance,7373,9461,2088,McDonald's,drinks,05 December 2032,Food & Dining
Sales,16468,15353,-1115,Starbucks,food,06 December 2032,Food & Dining
IT,6138,6651,513,Starbucks,coffee,07 December 2032,Food & Dining
Finance,16109,17621,1512,Starbucks,coffee,08 December 2032,Food & Dining
Sales,7080,6716,-364,McDonald's,drinks,09 December 2032,Food & Dining
Sales,18396,20630,2234,McDonald's,food,10 December 2032,Food & Dining
Operations,15054,13822,-1232,Netflix,entertainment,11 December 2032,Entertainment
Finance,8164,10593,2429,Starbucks,food,12 December 2032,Food & Dining
IT,6562,3835,-2727,Flipkart,online shopping,13 December 2032,Shopping
Sales,7144,6832,-312,Uber,travel,14 December 2032,Transportation
Finance,19914,22854,2940,Flipkart,online shopping,15 December 2032,Shopping
Finance,10132,11887,1755,Amazon,movie subscription,16 December 2032,Entertainment
Operations,15914,17747,1833,McDonald's,coffee purchase,17 December 2032,Food & Dining
Sales,9255,11230,1975,Shell,diesel,18 December 2032,Fuel
Marketing,14415,16802,2387,Starbucks,food,19 December 2032,Food & Dining
IT,12930,13060,130,Shell,diesel,20 December 2032,Fuel
Operations,17298,16080,-1218,Shell,diesel,21 December 2032,Fuel
Finance,13847,15634,1787,Netflix,monthly subscription,22 December 2032,Subscription
Marketing,16712,14590,-2122,Apple Store,online shopping,23 December 2032,Shopping
HR,18710,17855,-855,Amazon,movie subscription,24 December 2032,Entertainment
Marketing,5050,4866,-184,Starbucks,coffee,25 December 2032,Food & Dining
HR,14556,15819,1263,Uber,travel,26 December 2032,Transportation
Sales,11772,12476,704,Amazon,online shopping,27 December 2032,Shopping
HR,18536,17062,-1474,Netflix,movie subscription,28 December 2032,Entertainment
Finance,19390,18653,-737,Netflix,movie subscription,29 December 2032,Entertainment
IT,13594,14443,849,Uber,ride to work,30 December 2032,Transportation
IT,15265,13810,-1455,Amazon,online_shopping,31 December 2032,Shopping
Marketing,7298,8798,1500,McDonald's,coffee purchase,01 January 2033,Food & Dining
Sales,19309,17335,-1974,McDonald's,drinks,02 January 2033,Food & Dining
Finance,14931,17433,2502,Uber,ride,03 January 2033,Transportation
IT,6780,8917,2137,McDonald's,food,04 January 2033,Food & Dining
IT,5792,8341,2549,Uber,travel,05 January 2033,Transportation
Finance,10922,13030,2108,Shell,fuel purchase,06 January 2033,Fuel
Marketing,18818,18746,-72,Netflix,monthly subscription,07 January 2033,Subscription
Sales,7731,5205,-2526,Uber,ride to work,08 January 2033,Transportation
IT,15389,18125,2736,McDonald's,drinks,09 January 2033,Food & Dining
Marketing,16005,13628,-2377,Netflix,entertainment,10 January 2033,Entertainment
IT,14223,12275,-1948,Shell,petrol,11 January 2033,Fuel
IT,8163,8050,-113,Netflix,entertainment,12 January 2033,Entertainment
Sales,17316,16531,-785,Uber,ride,13 January 2033,Transportation
Operations,7617,9160,1543,McDonald's,coffee purchase,14 January 2033,Food & Dining
Sales,17357,16803,-554,Flipkart,online shopping,15 January 2033,Shopping
HR,5581,8381,2800,Flipkart,online shopping,16 January 2033,Shopping
Sales,17647,17031,-616,Starbucks,drinks,17 January 2033,Food & Dining
HR,18688,15819,-2869,Amazon,online shopping,18 January 2033,Shopping
HR,7487,6133,-1354,McDonald's,food,19 January 2033,Food & Dining
IT,6466,6805,339,Flipkart,movie subscription,20 January 2033,Entertainment
HR,10404,11233,829,McDonald's,drinks,21 January 2033,Food & Dining
Marketing,16350,17631,1281,Shell,fuel purchase,22 January 2033,Fuel
Marketing,17002,14091,-2911,Flipkart,online shopping,23 January 2033,Shopping
HR,9152,7941,-1211,Flipkart,movie subscription,24 January 2033,Entertainment
Marketing,18836,16174,-2662,Flipkart,movie subscription,25 January 2033,Entertainment
Operations,15207,13044,-2163,Flipkart,online shopping,26 January 2033,Shopping
Marketing,13608,16410,2802,McDonald's,food,27 January 2033,Food & Dining
Finance,8375,9657,1282,Uber,ride to work,28 January 2033,Transportation
Marketing,11616,13028,1412,Starbucks,coffee,29 January 2033,Food & Dining
HR,12131,12405,274,McDonald's,meal,30 January 2033,Food & Dining
IT,5399,7503,2104,Netflix,movie,31 January 2033,Entertainment
Marketing,14415,15458,1043,Amazon,online_shopping,01 February 2033,Shopping
Finance,13521,14197,676,McDonald's,drinks,02 February 2033,Food & Dining
Operations,9182,8131,-1051,Apple Store,online shopping,03 February 2033,Shopping
Sales,14352,16860,2508,Flipkart,online_shopping,04 February 2033,Shopping
Finance,15967,16210,243,Apple Store,app purchase,05 February 2033,Digital Services
IT,12659,9761,-2898,Amazon,movie subscription,06 February 2033,Entertainment
Marketing,14103,13118,-985,Apple Store,app purchase,07 February 2033,Digital Services
Sales,13456,11256,-2200,Uber,travel,08 February 2033,Transportation
Sales,17947,17931,-16,Apple Store,app purchase,09 February 2033,Digital Services
Operations,17429,16791,-638,McDonald's,food,10 February 2033,Food & Dining
Operations,7626,4999,-2627,Apple Store,app purchase,11 February 2033,Digital Services
IT,11491,14229,2738,Flipkart,movie subscription,12 February 2033,Entertainment
HR,8197,10777,2580,Netflix,monthly subscription,13 February 2033,Subscription
Marketing,17133,15869,-1264,Uber,ride to work,14 February 2033,Transportation
IT,19805,16821,-2984,Flipkart,movie subscription,15 February 2033,Entertainment
Sales,9597,7877,-1720,McDonald's,meal,16 February 2033,Food & Dining
IT,12965,14021,1056,Amazon,online_shopping,17 February 2033,Shopping
IT,19150,16500,-2650,Netflix,entertainment,18 February 2033,Entertainment
HR,19737,19881,144,Amazon,online_shopping,19 February 2033,Shopping
HR,10087,8247,-1840,Apple Store,app purchase,20 February 2033,Digital Services
Sales,5980,8901,2921,Apple Store,app purchase,21 February 2033,Digital Services
IT,8316,9160,844,Netflix,movie,22 February 2033,Entertainment
Sales,9289,12207,2918,Starbucks,coffee,23 February 2033,Food & Dining
Finance,11673,8969,-2704,Apple Store,online shopping,24 February 2033,Shopping
HR,10887,11557,670,Starbucks,drinks,25 February 2033,Food & Dining
IT,15807,15345,-462,Shell,petrol,26 February 2033,Fuel
Marketing,14313,16919,2606,Netflix,movie,27 February 2033,Entertainment
IT,11381,8894,-2487,Apple Store,app purchase,28 February 2033,Digital Services
Marketing,8298,9143,845,Flipkart,movie subscription,01 March 2033,Entertainment
HR,19003,17826,-1177,Netflix,movie,02 March 2033,Entertainment
IT,10836,9030,-1806,Uber,travel,03 March 2033,Transportation
Operations,10341,12689,2348,Apple Store,app purchase,04 March 2033,Digital Services
IT,10412,9002,-1410,Starbucks,coffee,05 March 2033,Food & Dining
Operations,5190,5556,366,Flipkart,movie subscription,06 March 2033,Entertainment
IT,13186,14811,1625,Flipkart,movie subscription,07 March 2033,Entertainment
IT,18454,18379,-75,Shell,fuel purchase,08 March 2033,Fuel
IT,7807,8179,372,Shell,petrol,09 March 2033,Fuel
Marketing,17758,17467,-291,McDonald's,drinks,10 March 2033,Food & Dining
IT,13554,14723,1169,Shell,fuel purchase,11 March 2033,Fuel
Marketing,16304,16353,49,Amazon,online_shopping,12 March 2033,Shopping
HR,5840,6346,506,Uber,ride,13 March 2033,Transportation
Marketing,17412,15734,-1678,Starbucks,food,14 March 2033,Food & Dining
Finance,16399,16955,556,McDonald's,drinks,15 March 2033,Food & Dining
Finance,7014,8781,1767,Apple Store,app purchase,16 March 2033,Digital Services
IT,6266,5430,-836,Flipkart,movie subscription,17 March 2033,Entertainment
Operations,17042,15898,-1144,Apple Store,app purchase,18 March 2033,Digital Services
Operations,18070,16990,-1080,Netflix,movie,19 March 2033,Entertainment
IT,15114,13367,-1747,McDonald's,coffee purchase,20 March 2033,Food & Dining
HR,12737,13074,337,Starbucks,food,21 March 2033,Food & Dining
Marketing,19981,19524,-457,Shell,petrol,22 March 2033,Fuel
Marketing,5906,3789,-2117,Amazon,online_shopping,23 March 2033,Shopping
Sales,19487,19606,119,Apple Store,online shopping,24 March 2033,Shopping
IT,6544,9207,2663,Apple Store,app purchase,25 March 2033,Digital Services
Marketing,12583,11705,-878,Shell,fuel purchase,26 March 2033,Fuel
IT,9909,12851,2942,Flipkart,online_shopping,27 March 2033,Shopping
Sales,5715,3713,-2002,Netflix,entertainment,28 March 2033,Entertainment
Finance,12604,9686,-2918,Netflix,monthly subscription,29 March 2033,Subscription
HR,19520,18859,-661,Amazon,online shopping,30 March 2033,Shopping
IT,5411,4141,-1270,Flipkart,online shopping,31 March 2033,Shopping
HR,5120,6453,1333,McDonald's,drinks,01 April 2033,Food & Dining
Sales,9061,11529,2468,Amazon,online shopping,02 April 2033,Shopping
Marketing,19291,16780,-2511,Shell,diesel,03 April 2033,Fuel
HR,11160,12689,1529,Netflix,entertainment,04 April 2033,Entertainment
IT,17082,18727,1645,Flipkart,online_shopping,05 April 2033,Shopping
Operations,13453,11456,-1997,Flipkart,online_shopping,06 April 2033,Shopping
Sales,8045,10062,2017,Netflix,entertainment,07 April 2033,Entertainment
Marketing,15491,15481,-10,McDonald's,meal,08 April 2033,Food & Dining
Sales,12056,13059,1003,McDonald's,food,09 April 2033,Food & Dining
Operations,13348,12752,-596,Netflix,monthly subscription,10 April 2033,Subscription
Operations,15726,15547,-179,Shell,diesel,11 April 2033,Fuel
Marketing,8895,9991,1096,Amazon,online shopping,12 April 2033,Shopping
Sales,14782,14616,-166,Shell,fuel purchase,13 April 2033,Fuel
Sales,13474,13933,459,Amazon,online shopping,14 April 2033,Shopping
IT,18702,17582,-1120,Flipkart,movie subscription,15 April 2033,Entertainment
Operations,18487,20130,1643,Shell,diesel,16 April 2033,Fuel
IT,19476,21682,2206,Flipkart,movie subscription,17 April 2033,Entertainment
IT,16413,19096,2683,Uber,travel,18 April 2033,Transportation
Finance,11270,12035,765,Shell,petrol,19 April 2033,Fuel
Sales,14041,15394,1353,Apple Store,online shopping,20 April 2033,Shopping
Sales,5394,5806,412,McDonald's,food,21 April 2033,Food & Dining
Operations,8049,8572,523,Starbucks,drinks,22 April 2033,Food & Dining
Operations,9581,9456,-125,Amazon,online_shopping,23 April 2033,Shopping
Operations,10683,12078,1395,Starbucks,drinks,24 April 2033,Food & Dining
IT,9586,11570,1984,Starbucks,coffee,25 April 2033,Food & Dining
Operations,15422,13378,-2044,McDonald's,meal,26 April 2033,Food & Dining
Marketing,18138,17560,-578,Shell,diesel,27 April 2033,Fuel
Marketing,18405,17714,-691,Starbucks,drinks,28 April 2033,Food & Dining
Operations,18596,20929,2333,Netflix,movie subscription,29 April 2033,Entertainment
Operations,10150,11483,1333,McDonald's,drinks,30 April 2033,Food & Dining
Sales,9744,11396,1652,Shell,fuel purchase,01 May 2033,Fuel
Operations,12078,11557,-521,Apple Store,online shopping,02 May 2033,Shopping
Finance,11521,9131,-2390,McDonald's,drinks,03 May 2033,Food & Dining
Marketing,19374,19150,-224,Flipkart,movie subscription,04 May 2033,Entertainment
HR,19699,16982,-2717,Amazon,movie subscription,05 May 2033,Entertainment
IT,18534,18949,415,Starbucks,drinks,06 May 2033,Food & Dining
HR,6708,6128,-580,Netflix,movie subscription,07 May 2033,Entertainment
HR,18508,17809,-699,Amazon,movie subscription,08 May 2033,Entertainment
Finance,7324,6023,-1301,Amazon,online shopping,09 May 2033,Shopping
Sales,7191,6875,-316,Shell,petrol,10 May 2033,Fuel
Sales,5339,5753,414,Flipkart,online_shopping,11 May 2033,Shopping
IT,12255,10990,-1265,Netflix,monthly subscription,12 May 2033,Subscription
Operations,13914,16835,2921,Flipkart,movie subscription,13 May 2033,Entertainment
IT,8717,8051,-666,Flipkart,online_shopping,14 May 2033,Shopping
Marketing,14876,16865,1989,Flipkart,online shopping,15 May 2033,Shopping
Marketing,13940,15056,1116,Amazon,online_shopping,16 May 2033,Shopping
IT,13780,14083,303,Amazon,movie subscription,17 May 2033,Entertainment
Operations,19797,20950,1153,Uber,travel,18 May 2033,Transportation
Operations,19843,18890,-953,Apple Store,app purchase,19 May 2033,Digital Services
HR,13139,13702,563,Shell,petrol,20 May 2033,Fuel
IT,9751,11818,2067,Apple Store,app purchase,21 May 2033,Digital Services
IT,8519,6698,-1821,Uber,ride,22 May 2033,Transportation
IT,9997,11456,1459,Shell,fuel purchase,23 May 2033,Fuel
HR,8619,7769,-850,McDonald's,coffee purchase,24 May 2033,Food & Dining
Operations,10625,11755,1130,Starbucks,coffee,25 May 2033,Food & Dining
Marketing,11956,14329,2373,Uber,ride,26 May 2033,Transportation
Marketing,17076,17292,216,Starbucks,food,27 May 2033,Food & Dining
Sales,12291,11379,-912,Starbucks,food,28 May 2033,Food & Dining
HR,18149,17599,-550,Uber,travel,29 May 2033,Transportation
HR,11535,13056,1521,Flipkart,online shopping,30 May 2033,Shopping
IT,14703,12265,-2438,Netflix,movie subscription,31 May 2033,Entertainment
Sales,13354,16239,2885,Shell,diesel,01 June 2033,Fuel
Operations,18476,17405,-1071,Uber,ride,02 June 2033,Transportation
HR,13404,13494,90,McDonald's,meal,03 June 2033,Food & Dining
HR,13407,13906,499,Netflix,monthly subscription,04 June 2033,Subscription
Finance,18498,18667,169,Flipkart,online shopping,05 June 2033,Shopping
Sales,17424,15141,-2283,McDonald's,meal,06 June 2033,Food & Dining
Sales,11776,8974,-2802,McDonald's,drinks,07 June 2033,Food & Dining
Operations,19088,17678,-1410,Apple Store,app purchase,08 June 2033,Digital Services
IT,16300,17750,1450,Flipkart,movie subscription,09 June 2033,Entertainment
IT,7199,9644,2445,Starbucks,drinks,10 June 2033,Food & Dining
Marketing,6258,5603,-655,Amazon,online shopping,11 June 2033,Shopping
IT,6750,5831,-919,Uber,ride,12 June 2033,Transportation
Finance,7779,10497,2718,Uber,travel,13 June 2033,Transportation
Marketing,17599,16375,-1224,McDonald's,meal,14 June 2033,Food & Dining
Sales,11074,12413,1339,Amazon,online shopping,15 June 2033,Shopping
HR,19584,20843,1259,Uber,ride,16 June 2033,Transportation
Sales,17142,15901,-1241,Apple Store,online shopping,17 June 2033,Shopping
Sales,16993,14801,-2192,Apple Store,online shopping,18 June 2033,Shopping
Marketing,12840,11379,-1461,Flipkart,movie subscription,19 June 2033,Entertainment
HR,5523,4651,-872,Uber,ride,20 June 2033,Transportation
HR,17255,16369,-886,Amazon,online_shopping,21 June 2033,Shopping
Sales,8970,10841,1871,Netflix,movie,22 June 2033,Entertainment
Marketing,10550,8203,-2347,Apple Store,online shopping,23 June 2033,Shopping
Marketing,18059,17009,-1050,Flipkart,movie subscription,24 June 2033,Entertainment
IT,12231,13355,1124,Apple Store,online shopping,25 June 2033,Shopping
HR,18106,20296,2190,Apple Store,online shopping,26 June 2033,Shopping
Finance,13760,16394,2634,Apple Store,online shopping,27 June 2033,Shopping
HR,16519,19032,2513,Apple Store,online shopping,28 June 2033,Shopping
HR,9725,7533,-2192,Uber,ride to work,29 June 2033,Transportation
HR,7688,7939,251,Netflix,movie subscription,30 June 2033,Entertainment
Finance,18994,17584,-1410,Flipkart,online_shopping,01 July 2033,Shopping
Marketing,9455,11680,2225,Apple Store,online shopping,02 July 2033,Shopping
Finance,17446,17024,-422,Uber,ride,03 July 2033,Transportation
Finance,19466,18251,-1215,McDonald's,food,04 July 2033,Food & Dining
Finance,10646,9525,-1121,Starbucks,coffee,05 July 2033,Food & Dining
Sales,12916,13939,1023,Shell,fuel purchase,06 July 2033,Fuel
IT,5802,8778,2976,Starbucks,coffee,07 July 2033,Food & Dining
IT,14729,17703,2974,Uber,ride,08 July 2033,Transportation
HR,6275,6048,-227,McDonald's,food,09 July 2033,Food & Dining
HR,14418,11941,-2477,Netflix,entertainment,10 July 2033,Entertainment
Operations,17580,17292,-288,Shell,petrol,11 July 2033,Fuel
Finance,17554,18370,816,Starbucks,drinks,12 July 2033,Food & Dining
Sales,13194,11818,-1376,Shell,fuel purchase,13 July 2033,Fuel
IT,19490,17970,-1520,McDonald's,drinks,14 July 2033,Food & Dining
HR,13385,12572,-813,Shell,petrol,15 July 2033,Fuel
HR,7511,4936,-2575,Flipkart,online_shopping,16 July 2033,Shopping
Sales,5873,5849,-24,Uber,ride to work,17 July 2033,Transportation
Finance,7941,8986,1045,Flipkart,online shopping,18 July 2033,Shopping
HR,16479,16914,435,Amazon,online_shopping,19 July 2033,Shopping
Operations,11338,14090,2752,Apple Store,online shopping,20 July 2033,Shopping
Sales,14483,14195,-288,Uber,ride,21 July 2033,Transportation
HR,9645,8582,-1063,Shell,fuel purchase,22 July 2033,Fuel
Operations,5760,6922,1162,Shell,fuel purchase,23 July 2033,Fuel
Marketing,16459,16128,-331,Shell,fuel purchase,24 July 2033,Fuel
Operations,14523,16078,1555,McDonald's,food,25 July 2033,Food & Dining
HR,6440,5656,-784,Netflix,movie subscription,26 July 2033,Entertainment
IT,11944,11161,-783,Shell,diesel,27 July 2033,Fuel
Sales,16407,17136,729,Netflix,entertainment,28 July 2033,Entertainment
IT,5235,7606,2371,Uber,ride to work,29 July 2033,Transportation
Marketing,18383,20053,1670,Netflix,movie,30 July 2033,Entertainment
Sales,18014,18415,401,Shell,petrol,31 July 2033,Fuel
HR,18722,21006,2284,Starbucks,food,01 August 2033,Food & Dining
Marketing,15032,12670,-2362,Flipkart,online_shopping,02 August 2033,Shopping
Sales,12257,12696,439,Uber,travel,03 August 2033,Transportation
Finance,8709,10935,2226,Shell,fuel purchase,04 August 2033,Fuel
HR,10730,7977,-2753,Netflix,monthly subscription,05 August 2033,Subscription
HR,16310,15424,-886,Amazon,online_shopping,06 August 2033,Shopping
IT,7750,10660,2910,Uber,ride,07 August 2033,Transportation
IT,11646,14106,2460,McDonald's,coffee purchase,08 August 2033,Food & Dining
IT,16010,16471,461,Starbucks,drinks,09 August 2033,Food & Dining
Finance,5124,5756,632,Netflix,entertainment,10 August 2033,Entertainment
Sales,5012,5221,209,McDonald's,food,11 August 2033,Food & Dining
Marketing,17078,17170,92,Amazon,online_shopping,12 August 2033,Shopping
HR,6747,4603,-2144,Netflix,movie,13 August 2033,Entertainment
HR,12206,9942,-2264,Netflix,movie subscription,14 August 2033,Entertainment
Marketing,9323,7972,-1351,Apple Store,online shopping,15 August 2033,Shopping
Sales,15235,17256,2021,Uber,ride,16 August 2033,Transportation
Sales,13794,14994,1200,Uber,ride to work,17 August 2033,Transportation
HR,11231,12692,1461,Amazon,online_shopping,18 August 2033,Shopping
Sales,17736,16612,-1124,Apple Store,app purchase,19 August 2033,Digital Services
HR,9058,11782,2724,Netflix,monthly subscription,20 August 2033,Subscription
IT,12079,13180,1101,Flipkart,movie subscription,21 August 2033,Entertainment
Operations,17368,19354,1986,Starbucks,food,22 August 2033,Food & Dining
Sales,9234,11228,1994,Starbucks,coffee,23 August 2033,Food & Dining
Marketing,9898,11079,1181,Netflix,entertainment,24 August 2033,Entertainment
Finance,7365,7953,588,McDonald's,drinks,25 August 2033,Food & Dining
Finance,16971,14965,-2006,Starbucks,drinks,26 August 2033,Food & Dining
Operations,10866,13502,2636,Uber,travel,27 August 2033,Transportation
HR,17551,19355,1804,Starbucks,coffee,28 August 2033,Food & Dining
Finance,9067,11079,2012,Flipkart,online shopping,29 August 2033,Shopping
Operations,5848,4582,-1266,McDonald's,drinks,30 August 2033,Food & Dining
Operations,15952,18948,2996,Shell,fuel purchase,31 August 2033,Fuel
IT,5763,3811,-1952,Apple Store,online shopping,01 September 2033,Shopping
IT,8011,5555,-2456,Shell,fuel purchase,02 September 2033,Fuel
Operations,6549,3606,-2943,Flipkart,online shopping,03 September 2033,Shopping
IT,13547,12329,-1218,Flipkart,online shopping,04 September 2033,Shopping
HR,7475,10208,2733,Uber,travel,05 September 2033,Transportation
Marketing,15511,16640,1129,Shell,diesel,06 September 2033,Fuel
Finance,12250,14803,2553,Shell,petrol,07 September 2033,Fuel
Finance,12743,13403,660,Flipkart,online_shopping,08 September 2033,Shopping
IT,5782,6421,639,Shell,petrol,09 September 2033,Fuel
IT,10205,12178,1973,Flipkart,online_shopping,10 September 2033,Shopping
Finance,5578,4389,-1189,Shell,fuel purchase,11 September 2033,Fuel
Finance,9823,9138,-685,McDonald's,meal,12 September 2033,Food & Dining
Marketing,10714,8549,-2165,Flipkart,online_shopping,13 September 2033,Shopping
HR,11205,11407,202,Flipkart,online shopping,14 September 2033,Shopping
Finance,19470,22093,2623,Apple Store,online shopping,15 September 2033,Shopping
Marketing,5753,5988,235,Flipkart,movie subscription,16 September 2033,Entertainment
Operations,11053,12240,1187,Amazon,online_shopping,17 September 2033,Shopping
Sales,9710,10070,360,McDonald's,coffee purchase,18 September 2033,Food & Dining
HR,7121,6870,-251,Apple Store,app purchase,19 September 2033,Digital Services
Marketing,14475,17395,2920,Apple Store,online shopping,20 September 2033,Shopping
Finance,14271,17226,2955,Uber,travel,21 September 2033,Transportation
IT,13664,10979,-2685,Netflix,monthly subscription,22 September 2033,Subscription
HR,7051,9666,2615,McDonald's,food,23 September 2033,Food & Dining
Marketing,6217,4783,-1434,Uber,ride,24 September 2033,Transportation
IT,19218,21883,2665,Uber,ride,25 September 2033,Transportation
HR,13655,11522,-2133,Netflix,movie subscription,26 September 2033,Entertainment
HR,8085,6248,-1837,Amazon,online shopping,27 September 2033,Shopping
Finance,8090,8042,-48,McDonald's,drinks,28 September 2033,Food & Dining
Sales,15598,18254,2656,Amazon,movie subscription,29 September 2033,Entertainment
HR,11687,9974,-1713,Netflix,movie,30 September 2033,Entertainment
Operations,6822,5598,-1224,McDonald's,drinks,01 October 2033,Food & Dining
IT,12717,13913,1196,Amazon,online shopping,02 October 2033,Shopping
Marketing,9280,7380,-1900,Uber,ride to work,03 October 2033,Transportation
Sales,8589,7699,-890,Amazon,movie subscription,04 October 2033,Entertainment
IT,15706,18145,2439,Flipkart,online_shopping,05 October 2033,Shopping
Finance,9549,10449,900,Netflix,movie subscription,06 October 2033,Entertainment
Finance,14295,14311,16,Uber,ride,07 October 2033,Transportation
IT,12731,10040,-2691,Flipkart,online_shopping,08 October 2033,Shopping
IT,19077,16596,-2481,McDonald's,meal,09 October 2033,Food & Dining
Marketing,13684,11544,-2140,Flipkart,movie subscription,10 October 2033,Entertainment
Operations,19495,21602,2107,Flipkart,online shopping,11 October 2033,Shopping
HR,17481,16066,-1415,Uber,ride to work,12 October 2033,Transportation
IT,17917,16724,-1193,Shell,petrol,13 October 2033,Fuel
HR,7065,4551,-2514,Starbucks,coffee,14 October 2033,Food & Dining
Finance,10035,10699,664,Uber,travel,15 October 2033,Transportation
Finance,10850,10921,71,Amazon,online_shopping,16 October 2033,Shopping
Operations,14229,14146,-83,Flipkart,online_shopping,17 October 2033,Shopping
Marketing,5965,6768,803,Netflix,monthly subscription,18 October 2033,Subscription
Sales,14464,16548,2084,McDonald's,food,19 October 2033,Food & Dining
Sales,5931,8648,2717,Netflix,monthly subscription,20 October 2033,Subscription
